Ciclo,ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
2,3906,0b1afd119abf98fbd8223feff96a54c4851530b1e679836940e7ba4cec23e83d,2011-04-12,5538,José De Gregorio Rebeco,5542,Sebastián Claro Edwards,CONTEXTO_REVISADO,RPM-2011-04-12:T15,SIN_CONTINUIDAD_CONFIRMADA,,en tanto que el Consejero señor Sebastián Claro estima que responde a expectativas de mayor inflación y menor crecimiento.
2,4220,c3073064f00dd768b5377883a55412c982531bd486682a450dd51c7e411de802,2011-08-18,5887,José De Gregorio Rebeco,5891,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,RPM-2011-08-18:T6,INICIO_EXPLICITO,,"El Presidente señor José De Gregorio plantea que tratándose de la Zona Euro, debiera considerarse la Euribor y la Eonia."
2,4220,c3073064f00dd768b5377883a55412c982531bd486682a450dd51c7e411de802,2011-08-18,5887,José De Gregorio Rebeco,5892,Sergio Lehmann Beresi,SUJETO_NOMBRE,RPM-2011-08-18:T7,INICIO_EXPLICITO,FINAL_SIN_PUNTUACION,"El señor Lehmann se compromete a revisar el gráfico,"
2,4220,c3073064f00dd768b5377883a55412c982531bd486682a450dd51c7e411de802,2011-08-18,5887,José De Gregorio Rebeco,5893,Luis Óscar Herrera Barriga,CONTEXTO_REVISADO,RPM-2011-08-18:T8,SIN_CONTINUIDAD_CONFIRMADA,,en tanto que el Gerente de División Estudios señor Luis Óscar Herrera hace presente que considerar el spread Euribor- Eonia arroja los mismos resultados que el spread Libor-OIS.
3,4224,9aa4dcbac22b640a6a916b017e2225fdc46da85624ff836af69d724028d09530,2011-08-18,5893,Kevin Cowan Logan,5899,Kevin Cowan Logan,SUJETO_ROL_NOMBRE,RPM-2011-08-18:T14,INICIO_EXPLICITO,,"El Gerente de División Política Financiera señor Kevin Cowan explica que una parte importante del financiamiento en dólares de los bancos europeos proviene de los fondos mutuos norteamericanos. En consecuencia, cuando hay tensiones, los fondos mutuos deshacen posiciones en Europa, generando presiones de liquidez en dólares en ese continente. Acota que para los bancos europeos es algo más difícil acceder al fondeo en dólares que en euros."
3,4224,9aa4dcbac22b640a6a916b017e2225fdc46da85624ff836af69d724028d09530,2011-08-18,5893,Kevin Cowan Logan,5900,Sergio Lehmann Beresi,CONTEXTO_REVISADO,RPM-2011-08-18:T15,SIN_CONTINUIDAD_CONFIRMADA,,"Al proseguir con su presentación, el señor Sergio Lehmann indica que los CDS de las economías europeas registraron aumentos importantes, particularmente los CDS de los bonos soberanos hasta el momento en que se tomó la decisión de rescatar a Grecia. Agrega que los CDS de Italia y España también alcanzaron niveles en torno a 400 puntos base, pero que disminuyeron una vez que el Banco Central Europeo decidió comprar bonos de ambas economías. Hace notar, además, que los CDS de bancos también registraron un aumento importante y una caída posterior. Informa que, probablemente, se estén produciendo movimientos al alza durante la presente jornada, producto de las turbulencias más recientes y las preocupaciones acerca de los problemas que siguen latentes en el caso de los bancos europeos. A título ejemplar, comenta que los CDS del banco Société Générale, respecto del cual hay hoy día algún grado de cuestionamiento, se mantuvieron en un nivel levemente elevado."
3,4341,26e27a214f5df2531eebd2342363d90cc66c5be18e8ed880636f1a49b6bae3c6,2011-10-13,6037;6038,José De Gregorio Rebeco;Sergio Lehmann Beresi,6044,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,RPM-2011-10-13:T8,INICIO_EXPLICITO,,El Presidente señor José De Gregorio consulta si la votación de los distintos países tiene por objeto aprobar la ampliación del Fondo.
3,4341,26e27a214f5df2531eebd2342363d90cc66c5be18e8ed880636f1a49b6bae3c6,2011-10-13,6037;6038,José De Gregorio Rebeco;Sergio Lehmann Beresi,6045,Sergio Lehmann Beresi,SUJETO_NOMBRE,RPM-2011-10-13:T9,INICIO_EXPLICITO,FINAL_SIN_PUNTUACION,"El señor Lehmann responde que ese es precisamente el objeto de la votación,"
3,4341,26e27a214f5df2531eebd2342363d90cc66c5be18e8ed880636f1a49b6bae3c6,2011-10-13,6037;6038,José De Gregorio Rebeco;Sergio Lehmann Beresi,6046,Manuel Marfán Lewis,CONTEXTO_REVISADO,RPM-2011-10-13:T10,SIN_CONTINUIDAD_CONFIRMADA,,en tanto que el Vicepresidente señor Manuel Marfán agrega que votan porque otorgan su garantía.
3,4341,26e27a214f5df2531eebd2342363d90cc66c5be18e8ed880636f1a49b6bae3c6,2011-10-13,6037;6038,José De Gregorio Rebeco;Sergio Lehmann Beresi,6047,Sergio Lehmann Beresi,SUJETO_NOMBRE,RPM-2011-10-13:T11,INICIO_EXPLICITO,,"El señor Lehmann precisa que solo los países AAA garantizan las emisiones de bonos y que los recursos obtenidos van en ayuda de los países en problemas, en este caso, a Grecia, Portugal Irlanda, contra bonos de primera emisión de esas economías."
3,4357,ec97f28400a25507951819d1299790fb312612007cdf10b667f56d6f36502123,2011-10-13,6060,Manuel Marfán Lewis,6069,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,RPM-2011-10-13:T33,INICIO_EXPLICITO,,"El Vicepresidente señor Manuel Marfán expresa que, a su juicio, la posición neta de contratos financieros de cobre —que el señor Lehmann denomina de carácter especulativo— deben tener una contrapartida física, que normalmente corresponde a los almacenes warrants utilizados en los contratos de futuros. En consecuencia, plantea que si la posición de compra de cobre especulativa está cayendo en términos netos, los inventarios warrants necesariamente tienen que reducirse. Sostiene que ello es más bien una consecuencia más que una causa. Agrega que las ventas de excedentes de cobre afectan su precio en la medida que las magnitudes sean significativas."
3,4357,ec97f28400a25507951819d1299790fb312612007cdf10b667f56d6f36502123,2011-10-13,6060,Manuel Marfán Lewis,6070,Sergio Lehmann Beresi,CONTEXTO_REVISADO,RPM-2011-10-13:T34,SIN_CONTINUIDAD_CONFIRMADA,,"Al finalizar su presentación, el señor Lehmann destaca que la caída de los precios de los commodities es generalizada en el último año, aunque presentan alguna reversión en los últimos días. Respecto del precio del petróleo, hace notar que la trayectoria actual es inferior a la contemplada en el IPoM, que el petróleo WTI exhibe una trayectoria más bien plana y el Brent, una caída. En su opinión, estos precios estarían buscando cierta convergencia. Agrega que también es probable que el mercado haya internalizado un posible retorno de Libia a los mercados durante el año 2012."
