"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Revision_Dirigida","Alcance_Lectura","Evidencia","Siguiente_Accion","Enlace_Aplicado_V6"
"RPM-2010-01-14:2863:2","RPM-2010-01-14:2863:3","Claudio Soto Gamboa","True","63","939","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","AGRUPADO_EN_V6","AGRUPADO_EN_V6","ENLACE_INTRAPADRE_APLICADO_V6","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Enlace aplicado y probado en v6; no generalizar a otros casos.","SI"
"RPM-2010-01-14:2875:1","RPM-2010-01-14:2875:2","José De Gregorio Rebeco","True","79","1038","SUJETO_ROL_NOMBRE","CONTEXTO_REVISADO","","","BARRERA_LEXICA_IZQUIERDA;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2010-01-14:2885:2","RPM-2010-01-14:2885:3","Manuel Marfán Lewis","True","165","2400","CONTEXTO_REVISADO","SUJETO_NOMBRE","","TEXTO_DANADO_POR_COTEJAR","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2010-02-11:2958:1","RPM-2010-02-11:2958:2","José De Gregorio Rebeco","True","335","224","SUJETO_ROL_NOMBRE","CONTEXTO_REVISADO","TEXTO_DANADO_POR_COTEJAR","","BARRERA_LEXICA_IZQUIERDA;ALERTA_CONTEXTUAL;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2010-03-18:2969:2","RPM-2010-03-18:2970:1","José De Gregorio Rebeco","False","301","158","CONTEXTO_REVISADO","SUJETO_ROL_SESION","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2010-03-18:3008:1","RPM-2010-03-18:3008:2","José De Gregorio Rebeco","True","61","332","SUJETO_ROL_SESION","CONTEXTO_REVISADO","","","BARRERA_LEXICA_IZQUIERDA;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2010-04-15:3071:1","RPM-2010-04-15:3071:2","José De Gregorio Rebeco","True","71","217","SUJETO_ROL_SESION","LECTOR_DOCUMENTO_REVISADO","FINAL_SIN_PUNTUACION","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2010-05-13:3109:1","RPM-2010-05-13:3109:2","José De Gregorio Rebeco","True","144","548","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2010-05-13:3125:1","RPM-2010-05-13:3126:1","José De Gregorio Rebeco","False","3642","2608","SUJETO_ROL_SESION","CONTEXTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2010-06-15:3193:1","RPM-2010-06-15:3193:2","José De Gregorio Rebeco","True","217","246","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2010-07-15:3269:1","RPM-2010-07-15:3269:2","José De Gregorio Rebeco","True","96","247","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2010-08-12:3328:1","RPM-2010-08-12:3328:2","José De Gregorio Rebeco","True","142","245","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2010-09-16:3421:4","RPM-2010-09-16:3421:5","José De Gregorio Rebeco","True","201","108","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2010-11-16:3572:1","RPM-2010-11-16:3572:2","José De Gregorio Rebeco","True","102","235","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2010-11-16:3575:1","RPM-2010-11-16:3575:2","José De Gregorio Rebeco","True","120","181","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","FINAL_SIN_PUNTUACION","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2011-01-13:3646:2","RPM-2011-01-13:3646:3","Sergio Lehmann Beresi","True","84","1168","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","AGRUPADO_EN_V6","AGRUPADO_EN_V6","ENLACE_INTRAPADRE_APLICADO_V6","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Enlace aplicado y probado en v6; no generalizar a otros casos.","SI"
"RPM-2011-06-14:4109:1","RPM-2011-06-14:4109:2","José De Gregorio Rebeco","True","124","181","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","FINAL_SIN_PUNTUACION","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2011-09-15:4332:1","RPM-2011-09-15:4333:1","José De Gregorio Rebeco","False","3732","145","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2011-11-15:4453:1","RPM-2011-11-15:4453:2","José De Gregorio Rebeco","True","448","227","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2011-12-13:4507:1","RPM-2011-12-13:4507:2","Rodrigo Vergara Montes","True","132","227","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","DUPLICADO_NO_FORMULA","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2012-03-15:4722:1","RPM-2012-03-15:4722:2","Rodrigo Vergara Montes","True","119","239","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2012-04-17:4788:1","RPM-2012-04-17:4788:2","Rodrigo Vergara Montes","True","1946","185","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","FINAL_SIN_PUNTUACION","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V4","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","data/curation/refinamiento_funcional_v4.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2012-05-17:4849:1","RPM-2012-05-17:4849:2","Rodrigo Vergara Montes","True","153","178","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","DUPLICADO_NO_FORMULA","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V4","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","data/curation/refinamiento_funcional_v4.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2012-06-14:4899:1","RPM-2012-06-14:4899:2","Rodrigo Vergara Montes","True","219","178","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","DUPLICADO_NO_FORMULA","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V4","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","data/curation/refinamiento_funcional_v4.json","Mantener separación; no tratarla como un enlace pendiente.","NO"
"RPM-2012-07-12:4972:1","RPM-2012-07-12:4973:1","Rodrigo Vergara Montes","False","2475","1958","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2012-08-16:5038:1","RPM-2012-08-16:5039:1","Rodrigo Vergara Montes","False","3040","1818","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2012-10-18:5158:1","RPM-2012-10-18:5159:1","Rodrigo Vergara Montes","False","2187","2009","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2012-11-13:5220:1","RPM-2012-11-13:5221:1","Rodrigo Vergara Montes","False","3424","2255","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2012-12-13:5252:3","RPM-2012-12-13:5252:4","Manuel Marfán Lewis","True","162","223","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_LIMITE_ACTA_PERSONA","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Revisar primero la frontera acta/aviso con la fuente original y el criterio de función textual; sólo después evaluar aviso→cesión. No inventar una intervención intermedia.","NO"
"RPM-2012-12-13:5266:1","RPM-2012-12-13:5267:1","Rodrigo Vergara Montes","False","3661","1970","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-01-17:5329:1","RPM-2013-01-17:5330:1","Rodrigo Vergara Montes","False","2859","2197","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-02-14:5397:1","RPM-2013-02-14:5398:1","Rodrigo Vergara Montes","False","2722","2548","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-03-14:5452:1","RPM-2013-03-14:5453:1","Rodrigo Vergara Montes","False","2360","3773","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-04-11:5513:1","RPM-2013-04-11:5514:1","Rodrigo Vergara Montes","False","2155","2506","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-05-16:5565:1","RPM-2013-05-16:5566:1","Rodrigo Vergara Montes","False","1991","3691","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-06-13:5633:1","RPM-2013-06-13:5634:1","Rodrigo Vergara Montes","False","4446","1635","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-07-11:5698:1","RPM-2013-07-11:5699:1","Rodrigo Vergara Montes","False","4418","1776","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-08-13:5751:1","RPM-2013-08-13:5752:1","Rodrigo Vergara Montes","False","4670","1860","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-09-12:5811:1","RPM-2013-09-12:5812:1","Rodrigo Vergara Montes","False","5544","382","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-10-17:5856:1","RPM-2013-10-17:5857:1","Rodrigo Vergara Montes","False","4140","1579","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
