ID_Turno,Fecha,Actor_Final,Rol_Final,Grupo_Actor,HD_Score_Oro,HD_Clase_Oro,Evidencia_Oro,Lex_Score,Score_Fuera_De_Pliegue,Pred_Fuera_De_Pliegue,Acierta
RPM-2008-06-10:T57,2008-06-10,Pablo García Silva,Gerente de División Estudios,STAFF,-0.25,NEUTRAL,hacia el segundo semestre estaría afectando la desaceleración global,-0.6,-0.0918,NEUTRAL,SI
RPM-2008-08-14:T88,2008-08-14,Andrés Velasco Brañes,Ministro de Hacienda,HACIENDA,0.75,HAWKISH,el énfasis de la Minuta de Opciones en un endurecimiento de stance monetario le parece el correcto,0.4286,-0.7557,DOVISH,NO
RPM-2008-11-13:T12,2008-11-13,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,-0.25,NEUTRAL,el impacto en Chile del súbito cambio del escenario global,-0.6364,-0.1119,NEUTRAL,SI
RPM-2009-01-08:T3,2009-01-08,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,-0.25,NEUTRAL,un acoplamiento al ciclo recesivo de las economías desarrolladas que parece más pronunciado de lo previsto,-0.5,-0.6794,DOVISH,NO
RPM-2009-02-12:T32,2009-02-12,Pablo García Silva,Gerente de División Estudios,STAFF,0.0,NEUTRAL,el sistema bancario opera bajo el control de las autoridades reguladoras,0.0,-0.2686,NEUTRAL,SI
RPM-2009-04-09:T100,2009-04-09,Jorge Desormeaux Jiménez,Vicepresidente del Banco Central,CONSEJO,-0.25,NEUTRAL,"hubo un deterioro de confianza abrupto, importante",0.0,-0.0496,NEUTRAL,SI
RPM-2009-06-16:T89,2009-06-16,Manuel Marfán Lewis,Consejero,CONSEJO,-1.0,DOVISH,"vota por reducir la tasa en 50 puntos base, dejándola en 0,75% anual",-0.6667,-0.7828,DOVISH,SI
RPM-2009-09-08:T58,2009-09-08,Pablo García Silva,Gerente de División Estudios,STAFF,0.0,NEUTRAL,no parece obvio plantear un sesgo en una u otra dirección,0.1429,-0.4758,DOVISH,NO
RPM-2009-11-12:T66,2009-11-12,Andrés Velasco Brañes,Ministro de Hacienda,HACIENDA,-0.75,DOVISH,hoy hay mayores riesgos de un crecimiento más bajo que el contemplado en el IPoM,0.0,-0.2749,DOVISH,SI
RPM-2010-01-14:T54,2010-01-14,Sebastián Claro Edwards,Consejero,CONSEJO,0.25,NEUTRAL,"la implicancia fundamental es la de no innovar, por lo que vota por mantener la TPM",0.5556,0.0304,NEUTRAL,SI
RPM-2010-04-15:T17,2010-04-15,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,0.0,NEUTRAL,mantendría las tasas bajas durante un período prolongado,0.0,0.0103,NEUTRAL,SI
RPM-2010-05-13:T8,2010-05-13,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,0.0,NEUTRAL,hay un comportamiento claramente más moderado en esta coyuntura particular,0.0,-0.0066,NEUTRAL,SI
RPM-2010-08-12:T18,2010-08-12,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,0.5,HAWKISH,no se puede descansar en las señales de que hoy no se está registrando mucha inflación,-0.5556,-0.0217,NEUTRAL,NO
RPM-2010-09-16:T75,2010-09-16,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,0.0,NEUTRAL,"se obtienen rangos de valores para el cierre del año anual por sobre el 5,4%",0.0,-0.0088,NEUTRAL,SI
RPM-2010-11-16:T99,2010-11-16,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,0.5,HAWKISH,su voto es por elevar la TPM en 25 puntos base,0.2727,-0.4084,DOVISH,NO
RPM-2011-02-17:T46,2011-02-17,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,0.0,NEUTRAL,ambos precios tenderían a converger más adelante,0.0,-0.0825,NEUTRAL,SI
RPM-2011-03-17:T86,2011-03-17,Enrique Marshall Rivera,Consejero,CONSEJO,0.75,HAWKISH,"vota por subir la TPM en 50pb, hasta 4,0%",0.5,0.8977,HAWKISH,SI
RPM-2011-06-14:T12,2011-06-14,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,-0.25,NEUTRAL,"todavía se advierte un grado de traspaso a las inflaciones core, pero a una velocidad bastante más moderada",-0.25,-0.019,NEUTRAL,SI
RPM-2011-07-14:T99,2011-07-14,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,-0.5,DOVISH,"existe una situación de vulnerabilidad más allá de lo que, al menos, los analistas en Chile han advertido",0.0,-0.5992,DOVISH,SI
RPM-2011-10-13:T41,2011-10-13,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,0.0,NEUTRAL,las colocaciones a personas continúan bastante dinámicas,-0.4286,-0.0325,NEUTRAL,SI
RPM-2011-12-13:T63,2011-12-13,Sebastián Claro Edwards,Consejero,CONSEJO,-0.75,DOVISH,ya parece confirmarse que Europa estará en recesión en los próximos trimestres,-0.6667,-0.6998,DOVISH,SI
RPM-2012-02-14:T5,2012-02-14,Miguel Ricaurte Bermúdez,Gerente de Análisis Internacional (S),STAFF,-0.25,NEUTRAL,persistirían las bajas de las tasas rectoras,-0.75,-0.5406,DOVISH,NO
RPM-2012-04-17:T7,2012-04-17,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,-0.25,NEUTRAL,economías que resultan ser un refugio frente a la mayor incertidumbre reinante,-0.5,-0.1306,NEUTRAL,SI
RPM-2012-07-12:T11,2012-07-12,Joaquín Vial Ruiz-Tagle,Consejero,CONSEJO,0.0,NEUTRAL,Codelco acaba de colocar un bono en condiciones muy favorables,0.2,0.0096,NEUTRAL,SI
RPM-2012-08-16:T27,2012-08-16,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,0.25,NEUTRAL,la industria sorprendió al alza,-0.5,-0.0298,NEUTRAL,SI
RPM-2012-09-13:T56,2012-09-13,Sebastián Claro Edwards,Consejero,CONSEJO,0.0,NEUTRAL,es conveniente mantener la Tasa de Política Monetaria en el rango de neutralidad,-0.5,0.0022,NEUTRAL,SI
RPM-2012-11-13:T66,2012-11-13,Rodrigo Vergara Montes,Presidente del Banco Central,CONSEJO,-0.25,NEUTRAL,las posibilidades de un mayor deterioro son importantes,-0.3333,-0.3585,NEUTRAL,SI
RPM-2013-03-14:T36,2013-03-14,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,0.5,HAWKISH,es necesario pensar en medidas calificadas como second best para lograr una desaceleración de la demanda interna,-0.5,-0.1616,NEUTRAL,NO
RPM-2013-05-16:T14,2013-05-16,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,0.0,NEUTRAL,se mantengan las políticas monetarias hiperexpansivas en las principales economías desarrolladas,0.0,-0.0533,NEUTRAL,SI
RPM-2013-06-13:T18,2013-06-13,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,0.0,NEUTRAL,una salida de nuestra economía con un peso más depreciado contribuye a que esta sea más equilibrada,0.4286,-0.0258,NEUTRAL,SI
RPM-2013-08-13:T13,2013-08-13,Sebastián Claro Edwards,Consejero,CONSEJO,0.25,NEUTRAL,los datos domésticos no darían cuenta aún de la desaceleración de la actividad interna,-0.2308,-0.3016,NEUTRAL,SI
RPM-2013-10-17:T17,2013-10-17,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,-0.25,NEUTRAL,el consumo de servicios se ha desacelerado durante el año,-0.5,-0.5477,DOVISH,NO
RPM-2013-11-19:T47,2013-11-19,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,-0.75,DOVISH,"en 25 puntos base en esta oportunidad a 4,5% anual y mantener el sesgo de neutral",-0.5833,-0.9387,DOVISH,SI
RPM-2014-01-16:T29,2014-01-16,Luis Óscar Herrera Barriga,Gerente de División Estudios,STAFF,-0.25,NEUTRAL,hay aspectos asociados a otros sectores que también se desaceleran,-0.6,0.0066,NEUTRAL,SI
RPM-2014-03-13:T32,2014-03-13,Miguel Fuentes Díaz,Gerente de Análisis Macroeconómico Interino,STAFF,-0.5,DOVISH,el último IMACEC dio cuenta de una contracción de la actividad mayor que la esperada,-0.6364,-0.5357,DOVISH,SI
RPM-2014-05-15:T39,2014-05-15,Luis Óscar Herrera Barriga,Gerente de División Estudios,STAFF,0.5,HAWKISH,"puede ser el factor que, en el margen, empuja un alza de la inflación",0.3333,0.1131,NEUTRAL,NO
RPM-2014-07-15:T14,2014-07-15,Pablo García Silva,Consejero,CONSEJO,0.0,NEUTRAL,las condiciones financieras sigan siendo laxas,0.0,0.0037,NEUTRAL,SI
RPM-2014-07-15:T43,2014-07-15,Pablo García Silva,Consejero,CONSEJO,-0.75,DOVISH,"su voto es por reducir la TPM en 25 puntos base, a 3,75% anual",0.2,-0.9577,DOVISH,SI
RPM-2014-10-16:T33,2014-10-16,Miguel Fuentes Díaz,Gerente de Análisis Macroeconómico,STAFF,0.0,NEUTRAL,"la formación bruta de capital se ha revisado hasta -5,4%",-0.1429,-0.0832,NEUTRAL,SI
RPM-2014-11-18:T3,2014-11-18,Alfredo Pistelli,Economista Senior,STAFF,0.0,NEUTRAL,se ha acentuado la divergencia económica entre Estados Unidos de América y resto del mundo,-0.2632,-0.1639,NEUTRAL,SI
RPM-2015-02-12:T17,2015-02-12,Miguel Fuentes Díaz,Gerente de Análisis Macroeconómico,STAFF,-0.25,NEUTRAL,las últimas proyecciones de precio se han ajustado a la baja,-0.6667,-0.2568,NEUTRAL,SI
RPM-2015-04-16:T22,2015-04-16,Rodrigo Vergara Montes,Presidente del Banco Central,CONSEJO,-0.25,NEUTRAL,menciona que el Fondo Monetario Internacional anunció que no renegociará su deuda,-0.3333,-0.335,NEUTRAL,SI
RPM-2015-06-11:T40,2015-06-11,Miguel Fuentes Díaz,Gerente de Análisis Macroeconómico,STAFF,-0.5,DOVISH,los salarios nominales se contrajeron en el mes de abril,-0.3333,-0.0328,NEUTRAL,NO
RPM-2015-08-13:T40,2015-08-13,Pablo García Silva,Consejero,CONSEJO,0.75,HAWKISH,adhiere a la preocupación que genera la evolución de la inflación por sobre el rango meta,0.0,0.6692,HAWKISH,SI
RPM-2015-09-15:T64,2015-09-15,Sebastián Claro Edwards,Vicepresidente del Banco Central,CONSEJO,0.5,HAWKISH,la desaceleración de la actividad no está generando holguras que sean muy desinflacionarias,-0.4667,-0.7193,DOVISH,NO
RPM-2015-12-17:T30,2015-12-17,Miguel Fuentes Díaz,Gerente de Análisis Macroeconómico,STAFF,0.0,NEUTRAL,"un ajuste a la baja en el crecimiento de la actividad, desde 2,8 a 2,4%",-0.4286,-0.0685,NEUTRAL,SI
RPM-2005-01-11:T41,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,0.25,NEUTRAL,todo lleva a concluir del análisis que la media está en 25 y puede ser o 50 o O lo que es claramente superior a la dosis que se ha conversado,0.0,-0.4104,DOVISH,NO
RPM-2005-04-07:T18,2005-04-07,Pablo García Silva,Gerente de Análisis Macroeconómico,STAFF,0.0,NEUTRAL,las tasas de interés de los documentos nominales de mediano plazo del Banco Central de Chile aumentaron significativamente,0.2941,-0.123,NEUTRAL,SI
RPM-2005-07-12:T41,2005-07-12,Esteban Jadresic Marinovic,Gerente de División Internacional,STAFF,0.25,NEUTRAL,comparte el análisis y la recomendación central que ha hecho la Gerencia de División Estudios,0.3333,0.1492,NEUTRAL,SI
RPM-2005-10-11:T27,2005-10-11,Manuel Marfán Lewis,Consejero,CONSEJO,0.25,NEUTRAL,sorprendió la tasa de crecimiento de junio que es algo que no estaba en el escenario,0.0,-0.3749,NEUTRAL,SI
RPM-2006-01-12:T30,2006-01-12,Rodrigo Valdés Pulido,Gerente de División Estudios,STAFF,0.0,NEUTRAL,"están inusualmente divididas, aunque se inclinan algo más a un alza que a una mantención",0.4783,0.0434,NEUTRAL,SI
RPM-2006-03-16:T31,2006-03-16,Enrique Marshall Rivera,Consejero,CONSEJO,0.0,NEUTRAL,la evolución económica no ha deparado grandes sorpresas y se ha presentado bastante en línea con lo previsto,0.4545,0.8821,HAWKISH,NO
RPM-2006-06-15:T69,2006-06-15,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,-0.5,DOVISH,"es mantener la tasa a la espera de mayor información, antes de continuar el proceso de normalización",0.1429,0.2197,NEUTRAL,NO
RPM-2006-08-10:T45,2006-08-10,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,0.25,NEUTRAL,"su voto también es por mantener la tasa de política monetaria en 5,25%",0.3043,0.148,NEUTRAL,SI
RPM-2006-12-14:T30,2006-12-14,Manuel Marfán Lewis,Consejero,CONSEJO,0.0,NEUTRAL,"el problema no es el tipo de cambio, sino que más bien es que se tiene un cambio estructural en los mercados internacionales",0.0,0.0131,NEUTRAL,SI
RPM-2007-02-08:T44,2007-02-08,Rodrigo Valdés Pulido,Gerente de División Estudios,STAFF,-0.25,NEUTRAL,había más holguras por el menor crecimiento del año pasado,-0.2222,-0.1093,NEUTRAL,SI
RPM-2007-05-10:T43,2007-05-10,Andrés Velasco Brañes,Ministro de Hacienda,HACIENDA,0.5,HAWKISH,si existen fenómenos de oferta que nos llevan a un escenario también de mayor inflación,0.5,-0.0691,NEUTRAL,NO
RPM-2007-07-12:T9,2007-07-12,Manuel Marfán Lewis,Consejero,CONSEJO,0.0,NEUTRAL,"el precio internacional no resulta un buen referente, ya que el precio del trigo está muy afectado por la temporalidad",0.0,-0.0357,NEUTRAL,SI
RPM-2007-09-13:T80,2007-09-13,Manuel Marfán Lewis,Consejero,CONSEJO,0.5,HAWKISH,vota por elevar la tasa de política en 25 puntos base,-0.3333,0.2831,HAWKISH,SI
RPM-2007-11-13:T63,2007-11-13,Esteban Jadresic Marinovic,Gerente de División Operaciones Financieras,STAFF,0.0,NEUTRAL,se estaría con alta probabilidad discutiendo un aumento de tasas,0.1667,0.0441,NEUTRAL,SI
RPM-2008-01-10:T43,2008-01-10,Manuel Marfán Lewis,Consejero,CONSEJO,0.5,HAWKISH,se inclina por un aumento de 25 puntos base en la Tasa de Política Monetaria,0.4286,0.8218,HAWKISH,SI
RPM-2008-04-10:T5,2008-04-10,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico Interino,STAFF,0.25,NEUTRAL,"en el mes de marzo el IPC aumentó 0,8%, acumulando un incremento de 8,5% anual",0.1429,0.2885,NEUTRAL,SI
RPM-2008-06-10:T48,2008-06-10,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,0.5,HAWKISH,"en el mes de mayo el IPC aumentó 1,2% mensual, acumulando un incremento de 8,9% anual y superando lo esperado",-0.4,0.3737,NEUTRAL,NO
RPM-2008-08-14:T50,2008-08-14,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,-0.25,NEUTRAL,lo que resulta coherente con una desaceleración por el lado de la demanda,-0.3333,-0.0359,NEUTRAL,SI
RPM-2008-10-09:T42,2008-10-09,Jorge Desormeaux Jiménez,Vicepresidente del Banco Central,CONSEJO,0.0,NEUTRAL,el Banco Central de Chile no está dormido y que tiene claro que existe una tarea pendiente en el plano inflacionario,-0.4167,0.2458,NEUTRAL,SI
RPM-2008-12-11:T103,2008-12-11,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,-0.75,DOVISH,mantener la Tasa de Política Monetaria y ser muy claro en un sesgo a la baja en el Comunicado,-0.0667,-0.9788,DOVISH,SI
RPM-2009-01-08:T61,2009-01-08,Jorge Desormeaux Jiménez,Vicepresidente del Banco Central,CONSEJO,-1.0,DOVISH,vota en consecuencia por una reducción de 100 puntos base de la Tasa de Política Monetaria,-0.75,0.066,NEUTRAL,NO
RPM-2009-03-12:T7,2009-03-12,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,-0.25,NEUTRAL,esas economías se mantienen flat hacia el año 2010,0.0,-0.2099,NEUTRAL,SI
RPM-2009-05-07:T83,2009-05-07,Manuel Marfán Lewis,Consejero,CONSEJO,-1.0,DOVISH,su voto es por rebajar la Tasa de Política Monetaria en 50 puntos base,-0.7778,-0.7706,DOVISH,SI
RPM-2009-06-16:T91,2009-06-16,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,-0.75,DOVISH,explicitar en el Comunicado que la política monetaria expansiva puede permanecer por un tiempo prolongado,-0.4118,-0.9346,DOVISH,SI
RPM-2009-09-08:T60,2009-09-08,Sebastián Claro Edwards,Consejero,CONSEJO,-0.5,DOVISH,sigue siendo necesario mantener el estimulo monetario actual,-0.7778,-0.0674,NEUTRAL,NO
RPM-2009-12-15:T55,2009-12-15,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,0.5,HAWKISH,Dicho índice llegó a algo más de 9% y ahora está en 12%,0.3333,0.0292,NEUTRAL,NO
RPM-2010-02-11:T122,2010-02-11,Sebastián Claro Edwards,Consejero,CONSEJO,0.25,NEUTRAL,la evolución de los salarios nominales confirma en parte esta inquietud,0.5,-0.2159,NEUTRAL,SI
RPM-2010-04-15:T21,2010-04-15,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,0.0,NEUTRAL,el escenario de proyección contempla una fuerte caída de la actividad en marzo y una recuperación hacia junio,0.0,-0.0265,NEUTRAL,SI
RPM-2010-05-13:T52,2010-05-13,Felipe Larraín Bascuñán,Ministro de Hacienda,HACIENDA,0.75,HAWKISH,será necesario comenzar un proceso gradual de normalización de la política monetaria,0.4286,0.4822,HAWKISH,SI
RPM-2010-07-15:T66,2010-07-15,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,0.0,NEUTRAL,el alza por este concepto es totalmente transitoria y está incorporada en la proyección,0.0,-0.0367,NEUTRAL,SI
RPM-2010-10-14:T39,2010-10-14,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,0.0,NEUTRAL,la industria no solo recuperó los niveles exhibidos antes del terremoto,-0.5,-0.0809,NEUTRAL,SI
RPM-2010-12-16:T63,2010-12-16,Enrique Marshall Rivera,Consejero,CONSEJO,0.5,HAWKISH,manifiesta inclinarse por un alza de 25 puntos base,0.1667,0.7146,HAWKISH,SI
RPM-2011-02-17:T3,2011-02-17,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,0.0,NEUTRAL,se observaron ligeros aumentos en la inflación de las economías desarrolladas,0.0,-0.1085,NEUTRAL,SI
RPM-2011-05-12:T34,2011-05-12,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,0.0,NEUTRAL,"las bolsas han retrocedido durante la última semana, en especial las de economías emergentes",0.0,-0.0206,NEUTRAL,SI
RPM-2011-07-14:T23,2011-07-14,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,0.0,NEUTRAL,el Banco Central Europeo elevó,0.4286,0.0458,NEUTRAL,SI
RPM-2011-09-15:T51,2011-09-15,Luis Óscar Herrera Barriga,Gerente de División Estudios,STAFF,0.5,HAWKISH,más preocupantes son los desarrollos en el merca,0.4286,0.3553,HAWKISH,SI
RPM-2011-11-15:T80,2011-11-15,Sebastián Claro Edwards,Consejero,CONSEJO,-0.5,DOVISH,"sin descartar, por cierto, bajas en las próximas Reuniones",-0.4286,-0.1533,NEUTRAL,NO
RPM-2012-01-12:T35,2012-01-12,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,-0.25,NEUTRAL,factores que se espera tengan un impacto por una sola vez en los niveles de precios,0.0,0.0083,NEUTRAL,SI
RPM-2012-02-14:T62,2012-02-14,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,0.25,NEUTRAL,otras fuentes de presión inflacionaria contribuyen en el margen a que la proyección se corrija levemente al alza,0.5556,0.0199,NEUTRAL,SI
RPM-2012-04-17:T74,2012-04-17,Felipe Larraín Bascuñán,Ministro de Hacienda,HACIENDA,-0.25,NEUTRAL,parece recomendable esperar y continuar monitoreando la evolución económica interna y externa,-0.5238,-0.1918,NEUTRAL,SI
RPM-2012-07-12:T7,2012-07-12,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,-0.25,NEUTRAL,"alude a la depreciación del real brasileño, que da cuenta precisamente de una debilidad importante de esta economía",-0.8333,-0.2106,NEUTRAL,SI
RPM-2012-09-13:T10,2012-09-13,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,0.0,NEUTRAL,"los CDS soberanos han bajado, especialmente aquellos de los países de la periferia de Europa",-0.7333,-0.0707,NEUTRAL,SI
RPM-2012-11-13:T16,2012-11-13,Luis Óscar Herrera Barriga,Gerente de División Estudios,STAFF,0.0,NEUTRAL,los que tienen implícito un ajuste fiscal del orden del 1% del PIB de ese país,0.5,-0.001,NEUTRAL,SI
RPM-2013-01-17:T18,2013-01-17,Joaquín Vial Ruiz-Tagle,Consejero,CONSEJO,0.25,NEUTRAL,Ello reduce más bien la probabilidad de un escenario de,0.0,-0.0043,NEUTRAL,SI
RPM-2013-03-14:T42,2013-03-14,Luis Óscar Herrera Barriga,Gerente de División Estudios,STAFF,0.0,NEUTRAL,esa Gerencia propone al Consejo mantener la Tasa de Política Monetaria en su nivel actual,-0.25,-0.5473,DOVISH,NO
RPM-2013-05-16:T21,2013-05-16,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,-0.5,DOVISH,la actividad y la demanda del primer trimestre del 2013 se desaceleraron algo más de lo contemplado,-0.7778,-0.2371,NEUTRAL,NO
RPM-2013-06-13:T22,2013-06-13,Kevin Cowan Logan,Gerente de División Política Financiera,STAFF,0.0,NEUTRAL,la caída de los activos financieros de largo plazo desde la última RPM,0.0,-0.0339,NEUTRAL,SI
RPM-2013-07-11:T56,2013-07-11,Claudio Raddatz Kiefer,Gerente de Investigación Económica,STAFF,-0.75,DOVISH,"su recomendación al Consejo es la opción de disminuir la TPM a 4,75% anual",-0.7647,-0.6458,DOVISH,SI
RPM-2013-10-17:T37,2013-10-17,Felipe Larraín Bascuñán,Ministro de Hacienda,HACIENDA,-0.75,DOVISH,la inflación se mantiene en la parte baja del rango de tolerancia y con este movimiento se contribuiría además a mantener un tipo de cambio competitivo,-0.3953,-0.0902,NEUTRAL,NO
RPM-2013-12-12:T20,2013-12-12,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,-0.5,DOVISH,la demanda interna continúa desacelerándose con motivo de la contracción importante de la inversión en capital fijo,-0.6,-0.666,DOVISH,SI
RPM-2014-02-18:T10,2014-02-18,Miguel Ricaurte Bermúdez,Gerente de Análisis Internacional (S),STAFF,0.0,NEUTRAL,las condiciones bancarias se han mantenido en torno al pivote de expansión,0.0,-0.0675,NEUTRAL,SI
RPM-2014-03-13:T44,2014-03-13,Luis Óscar Herrera Barriga,Gerente de División Estudios,STAFF,0.0,NEUTRAL,efectuará un análisis referido al pass through,-0.1429,-0.0385,NEUTRAL,SI
RPM-2014-05-15:T40,2014-05-15,Miguel Fuentes Díaz,Gerente de Análisis Macroeconómico,STAFF,0.25,NEUTRAL,la inflación SAE también se ha revisado al alza en el horizonte de proyección,0.0,-0.5429,DOVISH,NO
RPM-2014-07-15:T15,2014-07-15,Rodrigo Vergara Montes,Presidente del Banco Central,CONSEJO,0.0,NEUTRAL,resulta complejo hacer un balance del escenario internacional actual,-0.6364,-0.0036,NEUTRAL,SI
RPM-2014-08-14:T40,2014-08-14,Claudio Raddatz Kiefer,Gerente de División Política Financiera,STAFF,-0.25,NEUTRAL,no se ven asociadas a esta acción razones inmediatas para preocuparse por una incubación de riesgos financieros,-0.7895,-0.8405,DOVISH,NO
RPM-2014-09-11:T52,2014-09-11,Enrique Marshall Rivera,Vicepresidente del Banco Central,CONSEJO,-0.75,DOVISH,"su voto es por recortar la TPM en 25 puntos base, para dejarla en 3,25%",-0.6364,-0.6007,DOVISH,SI
