ID_Intervencion	Fecha	Actor	N_Op	Tipo	Antes	Despues	Justificacion
RPM-2006-10-12:904:1	2006-10-12	Manuel Marfán Lewis	1	SALTOS_DE_LINEA	El⏎Consejero⏎señor⏎Marfán,⏎sobre⏎el⏎mismo⏎tema,⏎señala⏎que⏎la⏎Superintendencia	El Consejero señor Marfán, sobre el mismo tema, señala que la Superintendencia	Artefacto de justificacion del PDF: una palabra por linea durante doce palabras. El resto de la fila y de la sesion corta en el ancho normal. Se reune el texto sin alterar una sola letra.
RPM-2006-10-12:910:1	2006-10-12	Igal Magendzo Weinberger	1	ACENTO_FALTANTE	los⏎supuestos de los cuales no contamos con mayor información de qué porcentaje de lo producido⏎con valor agregado se exporto	los⏎supuestos de los cuales no contamos con mayor información de qué porcentaje de lo producido⏎con valor agregado se exportó	Pretérito indefinido: 'se exportó'. Sin tilde, 'exporto' es primera persona del presente y no tiene sujeto posible en la oracion. La oracion es indirecta y ya lleva tilde diacritica en 'qué', lo que confirma que el acento se perdió por lectura óptica y no por criterio del transcriptor.
RPM-2006-10-12:911:1	2006-10-12	Manuel Marfán Lewis	1	LETRA_CONFUNDIDA	que le gustarla tener una percepción	que le gustaría tener una percepción	La ele ocupa el lugar de la i en el condicional 'gustaría'. La misma fila usa el condicional correctamente más adelante: 'sería lo adecuado'.
RPM-2006-10-12:934:1	2006-10-12	Pablo García Silva	1	SALTOS_DE_LINEA	prolongado⏎del⏎esperado.⏎Asimismo,⏎menciona⏎el⏎señor García,⏎que⏎todo⏎esto,⏎desgraciadamente,	prolongado del esperado. Asimismo, menciona el señor García, que todo esto, desgraciadamente,	Artefacto de justificación del PDF: una palabra por línea. Segundo caso en esta sesión, después de 904:1. Se reúne el texto sin alterar una letra.
RPM-2006-10-12:935:1	2006-10-12	Esteban Jadresic Marinovic	1	LETRA_CONFUNDIDA	con todo y dado⏎ios datos de coyuntura	con todo y dado⏎los datos de coyuntura	La i ocupa el lugar de la ele en el artículo 'los'. Es un artefacto sistemático del escaneo de esta época: aparece 9 veces en el corpus.
RPM-2006-10-12:936:1	2006-10-12	Andrés Velasco Brañes	1	PALABRA_ERRONEA	¿cuál es la diferencia entre pausa y⏎estado estacional?.	¿cuál es la diferencia entre pausa y⏎estado estacionario?.	La misma fila escribe 'estado estacionario' dos veces, una antes y una después de esta ocurrencia. 'estacional' es una lectura óptica truncada de 'estacionario'. No se inventa: se repite la forma que la propia fila trae.
RPM-2006-10-12:936:1	2006-10-12	Andrés Velasco Brañes	2	PUNTUACION	"“en el escenario central se contemplan⏎más alzas"""	“en el escenario central se contemplan⏎más alzas”	"La cita abre con comilla tipográfica angular y cierra con comilla recta. Se cierra con el mismo carácter con que abrió. Mismo artefacto que en 'Aaa"" (2012-09-13) y 'tequila"" (2012-09-13)."
RPM-2006-10-12:940:1	2006-10-12	Jorge Desormeaux Jiménez	1	PALABRA_OMITIDA	proceso que podría observase ya a partir del⏎cuarto trimestre	proceso que podría observarse ya a partir del⏎cuarto trimestre	Después del condicional 'podría' sólo cabe infinitivo: 'observarse'. Falta la erre del pronombre átono. Es un carácter omitido, no una reconstrucción.
RPM-2006-10-12:940:1	2006-10-12	Jorge Desormeaux Jiménez	2	PUNTUACION	cuarto trimestre de este año. de acuerdo al Informe	cuarto trimestre de este año, de acuerdo al Informe	El punto corta la oración y lo que sigue abre en minúscula ('de acuerdo'), lo que prueba que el punto sobra. La minúscula es la evidencia dentro de la propia fila; se cambia por coma sin tocar una letra.
RPM-2006-10-12:941:1	2006-10-12	José De Gregorio Rebeco	1	LETRA_CONFUNDIDA	que estos factores habrá que⏎ponderados en nuestras decisiones futuras	que estos factores habrá que⏎ponderarlos en nuestras decisiones futuras	'ponderados' por 'ponderarlos': la de ocupa el lugar de la erre en una sustitución de un solo carácter. Después de 'habrá que' sólo cabe infinitivo con pronombre.
RPM-2006-10-12:942:1	2006-10-12	Vittorio Corbo Lioi	1	SALTOS_DE_LINEA	El⏎Presidente señor Vittorio⏎Corbo,⏎manifiesta que concuerda⏎con⏎los⏎antecedentes de la minuta	El Presidente señor Vittorio Corbo, manifiesta que concuerda con los antecedentes de la minuta	Tercer caso del artefacto de justificación del PDF en esta sesión, después de 904:1 y 934:1. Se reúne el texto sin alterar una letra.
RPM-2006-10-12:943:1	2006-10-12	Consejo del Banco Central de Chile	1	RESIDUO_PAGINACION	sus implicancias sobre la inflación proyectada.”⏎17.30 horas.⏎El Consejo aprueba el texto del Comunicado.	sus implicancias sobre la inflación proyectada.⏎El Consejo aprueba el texto del Comunicado.	Dos defectos contiguos, resueltos en una sola operación para que el 'Antes' exista en el texto virgen. (1) Comilla de cierre huérfana: el bloque del Comunicado abre con la palabra 'Comunicado' y nunca trae comilla de apertura (verificado: 0 ocurrencias en la fila); se elimina la huérfana porque agregar la que falta sería inventar un carácter. (2) Marca horaria suelta '17.30 horas.', sin sujeto ni verbo, colgada entre el Comunicado y su aprobación; el cierre ya consigna su hora ('Se levanta la Sesión a las 18:00 horas'), así que no se pierde información.
RPM-2006-01-12:531:1	2006-01-12	Sergio Lehmann Beresi	1	LETRA_CONFUNDIDA	El iSM, índice gerentes de compra	El ISM, índice gerentes de compra	Sigla en mayúsculas: la i minúscula ocupa el lugar de la I mayúscula. Mismo artefacto que 'MI' por 'M1' en 896:1 y 'ios' por 'los' en 935:1. La glosa que sigue ('índice gerentes de compra') confirma de qué indicador se habla.
RPM-2006-01-12:531:1	2006-01-12	Sergio Lehmann Beresi	2	ACENTO_FALTANTE	En relación al Indice de Gerentes de Compra	En relación al Índice de Gerentes de Compra	Falta la tilde en la I mayúscula. La misma fila trae la forma correcta más abajo: 'El índice de Gerentes de Compra también ha mostrado una trayectoria positiva'. El español exige la tilde también en mayúscula.
RPM-2006-01-12:531:1	2006-01-12	Sergio Lehmann Beresi	3	PALABRA_OMITIDA	Menciona los inventarios de petróleo se han mantenido en niveles adecuados	Menciona que los inventarios de petróleo se han mantenido en niveles adecuados	Falta la conjunción 'que' del régimen 'mencionar que'. La misma fila trae la fórmula completa: 'Menciona además, que las presiones de precio en economías desarrolladas se mantienen contenidas'. No se inventa: se repite la forma que la propia fila usa.
RPM-2006-01-12:533:1	2006-01-12	Pablo García Silva	1	LETRA_CONFUNDIDA	£1 peso se ha apreciado de manera significativa	El peso se ha apreciado de manera significativa	El signo de libra y el dígito 1 ocupan el lugar de la E y la ele de 'El'. La oración no admite otra lectura: '£1 peso' no es una cifra posible delante de 'se ha apreciado'.
RPM-2006-01-12:533:1	2006-01-12	Pablo García Silva	2	SIMBOLO_SUELTO	un crecimiento de entre 5%% y 6%%	un crecimiento de entre 5% y 6%	Símbolo de porcentaje duplicado en las dos cifras. La misma fila escribe '6,3% anual' y '4% del PIB' con un solo signo.
RPM-2006-01-12:533:1	2006-01-12	Pablo García Silva	3	SIMBOLO_SUELTO	La productividad de! trabajo se mantuvo estable	La productividad del trabajo se mantuvo estable	El signo de admiración ocupa el lugar de la ele de la contracción 'del'. Mismo artefacto que en 879:1, 881:1 y 896:1 de la sesión 2006-10-12.
RPM-2006-01-12:533:1	2006-01-12	Pablo García Silva	4	PALABRA_ERRONEA	tras un aumento significativo en parte del tercer y cuatro trimestre	tras un aumento significativo en parte del tercer y cuarto trimestre	Falta la erre en 'cuarto'. La misma fila trae la forma correcta: 'en el cuarto trimestre del año pasado'. La serie 'tercer y cuatro' tampoco cierra: los ordinales van tercero y cuarto.
RPM-2006-01-12:533:1	2006-01-12	Pablo García Silva	5	LETRA_CONFUNDIDA	la inflación anual del IRC debiese ubicarse por debajo de 3%	la inflación anual del IPC debiese ubicarse por debajo de 3%	La erre ocupa el lugar de la pe. Medido en las 9.723 filas: 'IRC' aparece 61 veces y 'IRCX1' 10, siempre en contexto de índice de precios; 'IPC' y sus variantes aparecen 1.867 veces. Es una confusión sistemática P por R del escaneo, no una sigla distinta. En esta fila el párrafo siguiente dice que 'la inflación converge a 3%'. Las otras ~70 ocurrencias se corregirán al leer sus filas, no por regla global.
RPM-2006-01-12:533:1	2006-01-12	Pablo García Silva	6	ESPACIO_INDEBIDO	 sectores— , se espera	 sectores—, se espera	Espacio insertado antes del signo. En español el signo va pegado a la palabra o a la cifra que lo precede: no hay lectura en que el espacio sea correcto. Evidencia de fuente (§18): los dos PDFs del repositorio dan 0 ocurrencias del patrón y las 90 filas del corpus de esas mismas sesiones también, así que no es una característica del acta. La operación sólo quita el blanco; no altera ninguna palabra ni ninguna cifra.
RPM-2006-01-12:536:1	2006-01-12	Pablo García Silva	1	LETRA_CONFUNDIDA	señor Pablo García indica ai señor Ministro	señor Pablo García indica al señor Ministro	La i ocupa el lugar de la ele en la contracción 'al'. Mismo artefacto que en RPM-2006-10-12:881:1 ('en lo que dice relación ai precio del petróleo'). El régimen es 'indicar algo a alguien': no admite otra lectura.
RPM-2006-01-12:550:1	2006-01-12	Manuel Marfán Lewis	1	ACENTO_FALTANTE	no tiene por que ser la misma tasa de interés real	no tiene por qué ser la misma tasa de interés real	La locución 'tener por qué' lleva tilde diacrítica en 'qué': introduce una subordinada sustantiva, no una causal. Sin tilde, 'por que' sólo cabe en 'optar por que' y construcciones equivalentes, que no es el caso.
RPM-2006-01-12:557:1	2006-01-12	Rodrigo Valdés Pulido	1	SIMBOLO_SUELTO	el peso ha mostrado una leve depreciación respecto de! dólar	el peso ha mostrado una leve depreciación respecto del dólar	El signo de admiración ocupa el lugar de la ele de la contracción 'del'. Mismo artefacto que en 879:1, 881:1, 896:1 y 933:1.
RPM-2006-01-12:557:1	2006-01-12	Rodrigo Valdés Pulido	2	LETRA_CONFUNDIDA	(¡i) que la economía ya no requiere de un impulso importante y (iii)	(ii) que la economía ya no requiere de un impulso importante y (iii)	Es una enumeración (i), (ii), (iii): el punto de apertura (i) está bien, el segundo miembro salió con signo de admiración invertido en lugar de la segunda i, y el tercero está correcto. La serie misma es la evidencia; no se inventa nada.
RPM-2006-01-12:559:1	2006-01-12	Klaus Schmidt-Hebbel Dunker	1	ESPACIO_INDEBIDO	Concluye el Señor Schmidt- Hebbel manifestando	Concluye el Señor Schmidt-Hebbel manifestando	Espacio intruso después del guion del apellido. La misma fila lo escribe sin espacio en la apertura: 'El Gerente de Investigación Económica, señor Klaus Schmidt-Hebbel'. El campo Actor_Final de esta misma fila también trae la forma correcta.
RPM-2006-01-12:562:1	2006-01-12	Beltrán de Ramón Acevedo	1	PUNTUACION	Ello debe compararse con 5 alzas en las últimas 6 Reuniones de Política Monetaria..	Ello debe compararse con 5 alzas en las últimas 6 Reuniones de Política Monetaria.	Punto duplicado al cierre de la oración. La oración siguiente abre en mayúscula, así que basta un punto.
RPM-2006-01-12:563:1	2006-01-12	Nicolás Eyzaguirre Guzmán	1	ACENTO_INDEBIDO	en materia de intervención cambiaría como en términos de baja de tasas	en materia de intervención cambiaria como en términos de baja de tasas	Tilde mal puesta. 'Intervención cambiaria' es un término fijo y después de un sustantivo no cabe el condicional 'cambiaría'. Es el defecto sistemático más frecuente del corpus: 'cambiaría' por 'cambiaria' aparece 204 veces.
RPM-2006-01-12:563:1	2006-01-12	Nicolás Eyzaguirre Guzmán	2	PALABRA_OMITIDA	se desanclaran la expectativas	se desanclaran las expectativas	Falta la ese del artículo. La misma fila trae la forma correcta dos oraciones después: 'El caso es que las expectativas no se desanclaron'.
RPM-2006-01-12:570:1	2006-01-12	Manuel Marfán Lewis	1	SIMBOLO_SUELTO	agradece el análisis del staff-, y señala	agradece el análisis del staff, y señala	Guion suelto pegado a la coma. No cumple función de separación ni de rango.
RPM-2006-01-12:570:1	2006-01-12	Manuel Marfán Lewis	2	ACENTO_FALTANTE	las opiniones estas divididas	las opiniones están divididas	Falta la tilde del verbo 'estar'. La misma fila lo escribe bien varias veces: 'están dentro de la trayectoria', 'las expectativas son que'.
RPM-2006-01-12:570:1	2006-01-12	Manuel Marfán Lewis	3	PALABRA_PARTIDA	cuando lo correcto hubiera sido subirl a; vis a vis	cuando lo correcto hubiera sido subirla; vis a vis	Espacio intruso que parte el pronombre átono. Dos ocurrencias del mismo artefacto en la misma oración ('subirl a' y 'mantenerl a'); se corrigen por separado.
RPM-2006-01-12:570:1	2006-01-12	Manuel Marfán Lewis	4	PALABRA_PARTIDA	cuando lo correcto hubiera sido mantenerl a. En el primer caso	cuando lo correcto hubiera sido mantenerla. En el primer caso	Segunda ocurrencia del mismo artefacto, con el contexto necesario para que el 'Antes' sea único dentro de la fila.
RPM-2006-01-12:570:1	2006-01-12	Manuel Marfán Lewis	5	PALABRA_PARTIDA	fuera mantenerl a, tiene	fuera mantenerla, tiene	Palabra partida por un espacio espurio, con la segunda mitad reducida a una letra: «mantenerl a» -> «mantenerla». La evidencia es interna y doble: el primer trozo («mantenerl») es marginal en el corpus (1 apariciones, y ésas son ésta) y la forma junta («mantenerla») es la que el propio corpus usa 59 veces. La encontró detector_partida_letra, agregado en §31 porque detector_partida no puede verla: su guarda «segunda mitad con frecuencia < 50» bloquea justo las letras (a=37.528, o, e, s), que son frecuentes porque este mismo defecto las esparce. Precisión medida del detector: 40 candidatos en las 9.723 filas, 40 verdaderos; el único que no se corrige aquí es el de 147:1, que es la cola de una carrera letra por letra y se arregla entero en su pasada.
RPM-2006-01-12:572:1	2006-01-12	José De Gregorio Rebeco	1	ESPACIO_INDEBIDO	nuestra proyección de inflación en un horizonte de 1 2 - 2 4 meses	nuestra proyección de inflación en un horizonte de 12 - 24 meses	Espacios intrusos dentro de los dos números. La forma correcta está en la sesión: 569:1 dice 'los valores esperados por el mercado para los próximos 12 a 24 meses apuntan al 3%' y 574:1 'en el horizonte habitual de política de 12 a 24 meses'.
RPM-2006-01-12:573:1	2006-01-12	Vittorio Corbo Lioi	1	LETRA_CONFUNDIDA	éste ha vuelto ha incrementarse después de haber experimentado	éste ha vuelto a incrementarse después de haber experimentado	Dos 'ha' seguidos son imposibles: el segundo es la preposición 'a'. 'Ha vuelto a incrementarse' es la única lectura gramatical.
RPM-2006-01-12:573:1	2006-01-12	Vittorio Corbo Lioi	2	LETRA_CONFUNDIDA	Por otra parte, ios agregados financieros vuelven a retomar un alto dinamismo	Por otra parte, los agregados financieros vuelven a retomar un alto dinamismo	La i ocupa el lugar de la ele en el artículo. Es el artefacto sistemático más frecuente del corpus después de 'cambiaría': 91 ocurrencias en 89 filas.
RPM-2006-01-12:574:1	2006-01-12	Consejo del Banco Central de Chile	1	PALABRA_PARTIDA	87-01-060112-T asa de Política Monetaria	87-01-060112-Tasa de Política Monetaria	Espacio intruso que parte la palabra 'Tasa' justo después del guion del código de acuerdo. Mismo artefacto documentado en '115-01-071113-T a s a' de la sesión 2007-11-13.
RPM-2011-10-13:4336:1	2011-10-13	Sergio Lehmann Beresi	1	PALABRA_SOBRANTE	salidas de bonos y de instrumentos de renta de variable	salidas de bonos y de instrumentos de renta variable	Preposición intrusa. La misma fila trae la forma correcta párrafos antes: 'también se han registrado salidas de instrumentos de renta variable, en línea con los movimientos de las bolsas'.
RPM-2011-10-13:4342:2	2011-10-13	Sergio Lehmann Beresi	1	LETRA_CONFUNDIDA	se utilicen fondos de los banpos, los gobiernos y del FEEF	se utilicen fondos de los bancos, los gobiernos y del FEEF	La pe ocupa el lugar de la ce. 'Banpos' no es palabra; la serie 'bancos, gobiernos y FEEF' cierra con los tres actores que el párrafo viene discutiendo.
RPM-2011-10-13:4342:2	2011-10-13	Sergio Lehmann Beresi	2	SIMBOLO_SUELTO	aún no hay una posición oficial 'f respecto del requerimiento de capital	aún no hay una posición oficial respecto del requerimiento de capital	Residuo de glifo: apóstrofo y efe sueltos entre 'oficial' y 'respecto'. La oración se lee completa sin ellos; no aportan nada y no son parte de ninguna palabra.
RPM-2011-10-13:4342:2	2011-10-13	Sergio Lehmann Beresi	3	ACENTO_INDEBIDO	aclara que este aún esta en discusión, esperándose una definición	aclara que este aún está en discusión, esperándose una definición	Tilde faltante. 'Este' es el sujeto y la oración no admite otra lectura: no hay otro verbo posible. Se aplica la sección 1 del criterio (un carácter equivocado donde debería ir otro), no la sección 2 (palabra omitida, que sí exige corroboración). Este caso se había marcado antes por error aplicando la regla de corroboración; se retira esa marca y se corrige.
RPM-2011-10-13:4342:2	2011-10-13	Sergio Lehmann Beresi	4	ESPACIO_INDEBIDO	tivamente— , y se esta	tivamente—, y se esta	Espacio insertado antes del signo. En español el signo va pegado a la palabra o a la cifra que lo precede: no hay lectura en que el espacio sea correcto. Evidencia de fuente (§18): los dos PDFs del repositorio dan 0 ocurrencias del patrón y las 90 filas del corpus de esas mismas sesiones también, así que no es una característica del acta. La operación sólo quita el blanco; no altera ninguna palabra ni ninguna cifra.
RPM-2011-10-13:4344:1	2011-10-13	Sergio Lehmann Beresi	1	ACENTO_FALTANTE	ajustes a la baja en América Latina, Asia, Oceania y Europa emergente	ajustes a la baja en América Latina, Asia, Oceanía y Europa emergente	Falta la tilde en 'Oceanía'. No es una reconstrucción ambigua: el topónimo tiene una sola grafía en español y la serie es una enumeración de regiones, así que no hay otra lectura posible. Distinto de los casos que marco, donde faltaba una letra y cabían dos palabras.
RPM-2011-10-13:4353:1	2011-10-13	Sergio Lehmann Beresi	1	LETRA_CONFUNDIDA	que agentes no comerciales se deshagan se sus posiciones por razones	que agentes no comerciales se deshagan de sus posiciones por razones	La ese ocupa el lugar de la de. 'Deshacerse de' es una construcción pronominal fija y 'se deshagan se sus' no admite otra lectura: es un glifo mal leído, no una reconstrucción.
RPM-2011-10-13:4360:2	2011-10-13	Claudio Soto Gamboa	1	LETRA_CONFUNDIDA	una magnitud bastante más acotada que ei registrado en el año 2008	una magnitud bastante más acotada que el registrado en el año 2008	I latina en lugar de ele: 'ei' no es palabra. El artículo es obligado porque el mismo enunciado trae 'en el año 2008' inmediatamente después.
RPM-2011-10-13:4360:1	2011-10-13	Rodrigo Vergara Montes	1	PALABRA_OMITIDA	ya que los CDS han subido alrededor 70 puntos base	ya que los CDS han subido alrededor de 70 puntos base	Preposición omitida: 'alrededor' exige 'de' antes de la cantidad. La forma completa aparece 2 veces en esta misma sesión (filas 4344, 4366), así que hay corroboración en el acta y no se está inventando nada.
RPM-2011-10-13:4363:1	2011-10-13	Claudio Soto Gamboa	1	PALABRA_OMITIDA	los indicadores de consumo muestran una atenuación en su ritmo expansión	los indicadores de consumo muestran una atenuación en su ritmo de expansión	Preposición omitida. La forma completa está en la misma fila, dos oraciones después: 'ahora exhiben una cierta atenuación en su ritmo de expansión'. Se repone la que el acta ya trae.
RPM-2011-10-13:4384:1	2011-10-13	Manuel Marfán Lewis	1	ACENTO_INDEBIDO	la desaceleración de la demanda agregada prevista hacía fines de año	la desaceleración de la demanda agregada prevista hacia fines de año	Tilde indebida. 'Hacía' es el imperfecto de hacer y necesitaría un verbo finito al que sujetarse; aquí 'prevista' es participio, así que la única lectura posible es la preposición. Sección 1 del criterio: la oración no admite otra lectura.
RPM-2011-10-13:4384:1	2011-10-13	Manuel Marfán Lewis	2	PALABRA_ERRONEA	era natural prever de los agentes económicos moderarían su gasto	era natural prever que los agentes económicos moderarían su gasto	Conjunción sustituida. 'Prever de' no rige una subordinada con verbo conjugado. Corroborado con el corpus: 'prever que' aparece 33 veces y 'prever de' sólo 2 en todo el consolidado, una de ellas esta misma errata; dentro de la sesión 'prever que' está en 4366:1.
RPM-2011-10-13:4390:1	2011-10-13	Rodrigo Vergara Montes	1	SIMBOLO_SUELTO	producto de acuerdos preliminares en la Zona Euro,. Al respecto	producto de acuerdos preliminares en la Zona Euro. Al respecto	Coma suelta antes del punto de cierre. Medí el patrón ',.' en todo el corpus: aparece 98 veces y 95 de ellas son la fórmula de cierre de fila colgada ('A continuación,.', 'No habiendo más comentarios,.', 'Continuando con la votación,.'), que es un artefacto estructural del acta y no se toca. Este caso es distinto: la coma y el punto quedan a mitad de fila después de un sintagma común, así que es un símbolo suelto aislado, de la misma clase que el 'staff-,' y el apóstrofo-efe que ya se corrigieron.
RPM-2011-10-13:4388:1	2011-10-13	Felipe Larraín Bascuñán	1	PUNTUACION	el señor Felipe Larraín destaca, que el 30 de septiembre pasado	el señor Felipe Larraín destaca que el 30 de septiembre pasado	Coma intrusa entre el verbo y la subordinada. Medido en todo el consolidado: 'destaca que' aparece 772 veces y 'destaca, que' una sola. La oración no admite otra lectura y la forma correcta es abrumadoramente mayoritaria.
RPM-2011-10-13:4394:1	2011-10-13	Enrique Marshall Rivera	1	LETRA_CONFUNDIDA	agradeciendo al staff eI apoyo brindado	agradeciendo al staff el apoyo brindado	I mayúscula en lugar de ele minúscula. 'eI' no es palabra. Es la misma confusión de glifo ya corregida en '£1 peso'->'El peso'; medido, 'eI ' aparece 6 veces en el corpus.
RPM-2011-10-13:4394:1	2011-10-13	Enrique Marshall Rivera	2	SIMBOLO_SUELTO	reaccionar más adelante. i Asimismo, el Consejero	reaccionar más adelante. Asimismo, el Consejero	I latina suelta al comienzo de la oración, entre el punto y 'Asimismo'. La oración se lee completa sin ella. Mismo caso que el apóstrofo-efe de 4342:2 y el guión de 'staff-,'.
RPM-2011-10-13:4396:1	2011-10-13	Manuel Marfán Lewis	1	ACENTO_INDEBIDO	una elevada volatilidad cambiaría	una elevada volatilidad cambiaria	El adjetivo 'cambiaria' no lleva tilde; con tilde es el condicional del verbo cambiar y aquí modifica a 'volatilidad'. Es la confusión sistemática más frecuente del corpus: 'cambiaría' por 'cambiaria' aparece 204 veces y siempre se ha corregido cuando la fila lo permite. Esta fila no trae la forma correcta, pero el adjetivo es el único que cabe.
RPM-2011-10-13:4397:1	2011-10-13	José De Gregorio Rebeco	1	LETRA_CONFUNDIDA	ya que sigue en tomo a su meta	ya que sigue en torno a su meta	Eme en lugar de ene. Medido en el consolidado: 'en tomo a' aparece 24 veces y 'en torno a' 1.678. Es una confusión sistemática de glifo, de la misma clase que 'ios' por 'los' (91 veces), que el criterio manda corregir.
RPM-2011-10-13:4397:1	2011-10-13	José De Gregorio Rebeco	2	PALABRA_ERRONEA	sería muy raro también justificar porqué no se baja la tasa hoy	sería muy raro también justificar por qué no se baja la tasa hoy	'Porqué' sustantivo exigiría artículo ('el porqué'); sin él la única lectura es el interrogativo 'por qué'. Medido: 'por qué' 90 veces y 'porqué' 13 en el corpus, así que no es un patrón sistemático del transcriptor sino un caso aislado, y la oración no admite otra lectura.
RPM-2011-10-13:4398:1	2011-10-13	Consejo del Banco Central de Chile	1	LETRA_CONFUNDIDA	La profundizaclón de las tendencias observadas	La profundización de las tendencias observadas	Ele en lugar de i: 'cl' por 'ci'. Medido: 'profundizaclón' aparece 1 vez en todo el corpus y 'profundización' 42. La palabra mal escrita no existe.
RPM-2013-09-12:5754:1	2013-09-12	Consejo del Banco Central de Chile	1	PUNTUACION	doña Tatiana Vargas Manzo: Economista Senior, doña Ivonne Vera Reichert	doña Tatiana Vargas Manzo; Economista Senior, doña Ivonne Vera Reichert	Dos puntos en lugar de punto y coma. La lista de asistentes de esta misma fila separa cada cargo con punto y coma 15 veces; éste es el único dos puntos dentro de la enumeración (los otros dos están en 'Asisten también:' y abren la lista). La forma correcta está en la misma fila.
RPM-2013-09-12:5760:1	2013-09-12	Sergio Lehmann Beresi	1	PALABRA_OMITIDA	un porcentaje muy bajo del mercado esperaba en el mes enero pasado	un porcentaje muy bajo del mercado esperaba en el mes de enero pasado	Preposición omitida. La forma completa está dos veces en la misma fila: 'en el mes de agosto se estimaba' y 'a contar del mes de enero de 2014'.
RPM-2013-09-12:5762:1	2013-09-12	Sergio Lehmann Beresi	1	LETRA_CONFUNDIDA	mediante swaps cambíanos por la suma	mediante swaps cambiarios por la suma	Ene por ere. 'Cambíanos' no es palabra; el término es 'swaps cambiarios'. Medido: 'cambíanos' aparece 19 veces y 'cambiarios' 39, así que es una confusión sistemática de glifo, de la clase que el criterio manda corregir.
RPM-2013-09-12:5762:1	2013-09-12	Sergio Lehmann Beresi	2	LETRA_CONFUNDIDA	en Estados Unidos de América, ia Zona Euro, Alemania	en Estados Unidos de América, la Zona Euro, Alemania	I latina por ele. Medido: 'ia Zona Euro' aparece 2 veces y 'la Zona Euro' 720. Es la misma confusión ya corregida en 'indica ai señor Ministro'->'al señor'.
RPM-2013-09-12:5762:1	2013-09-12	Sergio Lehmann Beresi	3	ACENTO_INDEBIDO	Por otra parte, índica que uno de los elementos	Por otra parte, indica que uno de los elementos	Tilde en la sílaba equivocada: 'índica' no es palabra. Medido: aparece 45 veces en el corpus contra 2.366 de 'indica que'. Confusión sistemática y sin ambigüedad.
