Fecha,Tasa_Antes,Tasa_Despues,Delta_PB,IDs_Evidencia,Formulas_Contrastadas
2011-08-18,5.25,5.25,0,6115;6116,3
2011-09-15,5.25,5.25,0,6185;6186,3
2011-10-13,5.25,5.25,0,6270;6271,3
2011-11-15,5.25,5.25,0,6360;6361,3
2011-12-13,5.25,5.25,0,6431;6432,3
2012-01-12,5.25,5.0,-25,6501;6502,3
2012-02-14,5.0,5.0,0,6591;6592,3
2012-03-15,5.0,5.0,0,6688;6689,3
2012-04-17,5.0,5.0,0,6764;6770,3
2012-05-17,5.0,5.0,0,6840;6841,3
2012-06-14,5.0,5.0,0,6898;6899,3
2012-07-12,5.0,5.0,0,6987;6988,3
2012-08-16,5.0,5.0,0,7059;7060,3
2012-09-13,5.0,5.0,0,7124;7125,3
2012-10-18,5.0,5.0,0,7206;7207,3
2012-11-13,5.0,5.0,0,7282;7283,3
2012-12-13,5.0,5.0,0,7340;7341,3
2013-01-17,5.0,5.0,0,7412;7413,3
2013-02-14,5.0,5.0,0,7496;7497,3
2013-03-14,5.0,5.0,0,7561;7562,3
2013-04-11,5.0,5.0,0,7632;7633,3
2013-05-16,5.0,5.0,0,7692;7693,3
2013-06-13,5.0,5.0,0,7769;7770,3
2013-07-11,5.0,5.0,0,7845;7846,3
2013-08-13,5.0,5.0,0,7912;7913,3
2013-09-12,5.0,5.0,0,7984;7985,3
2013-10-17,5.0,4.75,-25,8035;8036,3
2013-11-19,4.75,4.5,-25,8091;8092,3
2013-12-12,4.5,4.5,0,8155;8156,3
2014-01-16,4.5,4.5,0,8208;8209,3
2014-02-18,4.5,4.25,-25,8281;8282,3
2014-03-13,4.25,4.0,-25,8354,2
2014-04-17,4.0,4.0,0,8439;8440,3
2014-05-15,4.0,4.0,0,8504;8505,3
2014-06-12,4.0,4.0,0,8580;8582;8583,4
2014-07-15,4.0,3.75,-25,8638;8639,3
2014-08-14,3.75,3.5,-25,8697;8698,3
2014-09-11,3.5,3.25,-25,8758;8759,3
2014-10-16,3.25,3.0,-25,8823;8824,3
2014-11-18,3.0,3.0,0,8866;8867,3
2014-12-11,3.0,3.0,0,8903;8904,3
2015-01-15,3.0,3.0,0,8958;8959,3
2015-02-12,3.0,3.0,0,9012;9013,3
2015-03-19,3.0,3.0,0,9070;9071,3
2015-04-16,3.0,3.0,0,9146;9147,3
2015-05-14,3.0,3.0,0,9213;9214;9218,3
2015-06-11,3.0,3.0,0,9290;9291,3
2015-07-14,3.0,3.0,0,9353;9354,3
2015-08-13,3.0,3.0,0,9422;9423,3
2015-09-15,3.0,3.0,0,9504;9506;9507,4
2015-10-15,3.0,3.25,25,9585;9586,3
2015-11-12,3.25,3.25,0,9643;9644,3
2015-12-17,3.25,3.5,25,9724;9725,3
